"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"RS_PART_NUMBER";"RS_PRICE-STOCK";"SPICEPREFIX";
"16";"10k";"R-US_0204/7";"0204/7";"PD0, PD1, PD2, PD3, PD4, PD5, PD6, PD7, PD8, PD9, PD10, PD11, PD12, PD13, PD14, PD15";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"";"";"R";
"1";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"FLYBACK_DIODE";"DIODE";"";"";"";"";"";"";"58";"";"";"";
"1";"207479-0002";"207479-0002";"2074790002";"POWER";"MOLEX - 207479-0002 - L1NK 396 SHROUDED HEADER ASSEMBLY-1X2 98AC8497";"MOLEX - 207479-0002 - L1NK 396 SHROUDED HEADER ASSEMBLY-1X2 98AC8497";"14.1mm";"Molex";"207479-0002";"538-207479-0002";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-207479-0002";"";"";"";"";
"16";"220";"R-US_0204/7";"0204/7";"R0, R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"";"";"R";
"1";"55959-0830";"55959-0830";"SHDR8W65P250X200_2X4_1140X1400";"CLOCK";"Headers & Wire Housings 8 Ckt R.A. Header";"Headers & Wire Housings 8 Ckt R.A. Header";"11.95mm";"Molex";"55959-0830";"538-55959-0830";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-0830";"";"";"";"";
"1";"55959-1830";"55959-1830";"SHDR18W65P250X200_2X9_2140X140";"MAR";"Molex MICROCLASP Series, Series Number 55959, 2mm Pitch 18 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"Molex MICROCLASP Series, Series Number 55959, 2mm Pitch 18 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"11.7mm";"Molex";"55959-1830";"538-55959-1830";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-1830";"";"";"";"";
"2";"55959-2030";"55959-2030";"55959-2030_1";"ALU, IR";"Molex MICROCLASP Series, Series Number 56134, 2mm Pitch 20 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"Molex MICROCLASP Series, Series Number 56134, 2mm Pitch 20 Way 2 Row Right Angle PCB Header, Solder Termination, 3A";"mm";"Molex";"55959-2030";"538-55959-2030";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-2030";"";"";"";"";
"6";"55959-2430";"55959-2430";"559592430";"ACCUMULATOR, IO, IR_CONTROL, MBR, MEMORY, PROGRAM_COUNTER";"Headers & Wire Housings 24 Ckt R.A. Header";"Headers & Wire Housings 24 Ckt R.A. Header";"11.95mm";"Molex";"55959-2430";"538-55959-2430";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-2430";"";"";"";"";
"1";"MHPS2273N";"MHPS2273N";"MHPS2273N";"RESET";"Pushbutton Switches Momentary key DP";"Pushbutton Switches Momentary key DP";"13.5mm";"Apem";"MHPS2273N";"642-MHPS2273N";"https://www.mouser.com/Search/Refine.aspx?Keyword=642-MHPS2273N";"";"";"";"";
"16";"RED";"LED3MM";"LED3MM";"LED0, LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15";"LED";"";"";"";"";"";"";"97";"";"";"";
"1";"SN74HC32N";"SN74HC32N";"DIP794W53P254L1930H508Q14N";"OR_GATE";"QUADRUPLE 2-INPUT POSITIVE-OR GATES";"QUADRUPLE 2-INPUT POSITIVE-OR GATES";"5.08mm";"Texas Instruments";"SN74HC32N";"595-SN74HC32N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC32N";"";"";"";"";
"1";"SRD-05VDC-SL-C";"SRD-05VDC-SL-C";"SRD";"RST_RELAY";"Relay";"Relay";"mm";"Songle Relay";"SRD-05VDC-SL-C";"";"";"";"";"";"";
