"Qty";"Value";"Device";"Package";"Parts";"Description";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"POPULARITY";"SPICEPREFIX";
"2";"";"C-US025-024X044";"C025-024X044";"C8, C9";"CAPACITOR, American symbol";"";"";"";"";"";"";"17";"C";
"3";"0.01uf";"C-US025-024X044";"C025-024X044";"C3, C4, C5";"CAPACITOR, American symbol";"";"";"";"";"";"";"17";"C";
"3";"0.1uf";"C-US025-024X044";"C025-024X044";"C1, C2, C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"17";"C";
"1";"1M";"R-US_0204/7";"0204/7";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"R";
"4";"1k";"R-US_0204/7";"0204/7";"R1, R3, R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"R";
"1";"1uf";"CPOL-USE5-5";"E5-5";"C7";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"5";"C";
"1";"220";"R-US_0204/7";"0204/7";"RCLK";"RESISTOR, American symbol";"";"";"";"";"";"";"48";"R";
"1";"55959-0830";"55959-0830";"SHDR8W65P250X200_2X4_1140X1400";"BUS";"Headers & Wire Housings 8 Ckt R.A. Header";"Headers & Wire Housings 8 Ckt R.A. Header";"11.95mm";"Molex";"55959-0830";"538-55959-0830";"https://www.mouser.com/Search/Refine.aspx?Keyword=538-55959-0830";"";"";
"1";"BLUE";"LED3MM";"LED3MM";"LEDCLK";"LED";"";"";"";"";"";"";"97";"";
"3";"LMC555CN_NOPB";"LMC555CN_NOPB";"DIP794W53P254L959H508Q8N";"555_RUN, 555_SEL, 555_STEP";"Worlds smallest 555 timer with low power, high accuracy and a Fmax of 3MHz";"Worlds smallest 555 timer with low power, high accuracy and a Fmax of 3MHz";"5.08mm";"Texas Instruments";"LMC555CN/NOPB";"926-LMC555CN/NOPB";"https://www.mouser.com/Search/Refine.aspx?Keyword=926-LMC555CN%2FNOPB";"";"";
"1";"MHPS2273N";"MHPS2273N";"MHPS2273N";"STEP";"Pushbutton Switches Momentary key DP";"Pushbutton Switches Momentary key DP";"13.5mm";"Apem";"MHPS2273N";"642-MHPS2273N";"https://www.mouser.com/Search/Refine.aspx?Keyword=642-MHPS2273N";"";"";
"1";"MHPS2285";"MHPS2285";"MHPS2285";"RUN/STEP";"Pushbutton Switches 8mmDPDT PUSH PUSH";"Pushbutton Switches 8mmDPDT PUSH PUSH";"13.5mm";"Apem";"MHPS2285";"642-MHPS2285";"https://www.mouser.com/Search/Refine.aspx?Keyword=642-MHPS2285";"";"";
"1";"PDB12-M4251-105BF";"PDB12-M4251-105BF";"PDB12M4251105BF";"POTENTIOMETER";"Potentiometers 1M LINEAR 12MM";"Potentiometers 1M LINEAR 12MM";"15mm";"Bourns";"PDB12-M4251-105BF";"652-PDB12-M4251105BF";"https://www.mouser.com/Search/Refine.aspx?Keyword=652-PDB12-M4251105BF";"";"";
"1";"SN74HC04N";"SN74HC04N";"DIP794W53P254L1930H508Q14N";"NOT_GATE";"Hex inverter,SN74HC04N DIP14 2.6V 25pcs";"Hex inverter,SN74HC04N DIP14 2.6V 25pcs";"5.08mm";"Texas Instruments";"SN74HC04N";"595-SN74HC04N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC04N";"";"";
"1";"SN74HC08N";"SN74HC08N";"DIP794W53P254L1930H508Q14N";"AND_GATE";"QUADRUPLE 2-INPUT POSITIVE-NOR GATES";"QUADRUPLE 2-INPUT POSITIVE-NOR GATES";"5.08mm";"Texas Instruments";"SN74HC08N";"595-SN74HC08N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC08N";"";"";
"1";"SN74HC32N";"SN74HC32N";"DIP794W53P254L1930H508Q14N";"OR_GATE";"QUADRUPLE 2-INPUT POSITIVE-OR GATES";"QUADRUPLE 2-INPUT POSITIVE-OR GATES";"5.08mm";"Texas Instruments";"SN74HC32N";"595-SN74HC32N";"https://www.mouser.com/Search/Refine.aspx?Keyword=595-SN74HC32N";"";"";
